text;setting;entrance;exit;business;delivery;modifier;location;unknown;play;year;lemmas;clean_lemmas;pos;ner_lemmas;ner_pos
Раскланиваются опять. Шприх, скорчив кислую мину, уходит.;0;0;1;1;0;0;0;0;lermontov-maskarad;1842;['раскланиваться', 'опять', 'шприх', 'скорчить', 'кислый', 'мина', 'уходить'];['раскланиваться', 'шприх', 'скорчить', 'кислый', 'мина', 'уходить'];['V', 'S', 'V', 'A', 'S', 'V'];['раскланиваться', 'шприх', 'скорчить', 'кислый', 'мина', 'уходить'];['V', 'S', 'V', 'A', 'S', 'V']
(кричат);0;0;0;0;1;0;0;0;lermontov-maskarad;1842;['кричать'];['кричать'];['V'];['кричать'];['V']
(С притворным участием.);0;0;0;0;1;0;0;0;lermontov-maskarad;1842;['с', 'притворный', 'участие'];['притворный', 'участие'];['A', 'S'];['притворный', 'участие'];['A', 'S']
Живой разговор между игроками, потом успокаиваются. Арбенин замечает князя Звездича и подходит.;0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['живой', 'разговор', 'между', 'игрок', 'потом', 'успокаиваться', 'арбенин', 'замечать', 'князь', 'звездич', 'и', 'подходить'];['живой', 'разговор', 'игрок', 'успокаиваться', 'арбенин', 'замечать', 'князь', 'звездич', 'подходить'];['A', 'S', 'S', 'V', 'S', 'V', 'S', 'S', 'V'];['живой', 'разговор', 'игрок', 'успокаиваться', 'Имя', 'замечать', 'князь', 'Имя', 'подходить'];['A', 'S', 'S', 'V', 'PERSN', 'V', 'S', 'PERSN', 'V']
(недовольно);0;0;0;0;1;0;0;0;lermontov-maskarad;1842;['недовольно'];['недовольно'];['ADV'];['недовольно'];['ADV']
(с чувством берет его за руку);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['с', 'чувство', 'брать', 'он', 'за', 'рука'];['чувство', 'брать', 'рука'];['S', 'V', 'S'];['чувство', 'брать', 'рука'];['S', 'V', 'S']
Молчание. Князь едва его слушал и был в волнении.;0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['молчание', 'князь', 'едва', 'он', 'слушать', 'и', 'быть', 'в', 'волнение'];['молчание', 'князь', 'едва', 'слушать', 'волнение'];['S', 'S', 'ADV', 'V', 'S'];['молчание', 'князь', 'едва', 'слушать', 'волнение'];['S', 'S', 'ADV', 'V', 'S']
(вдруг берет его за руку);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['вдруг', 'брать', 'он', 'за', 'рука'];['брать', 'рука'];['V', 'S'];['брать', 'рука'];['V', 'S']
(Смотрит на него пристально.);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['смотреть', 'на', 'он', 'пристально'];['смотреть', 'пристально'];['V', 'ADV'];['смотреть', 'пристально'];['V', 'ADV']
(Переменив тон.);0;0;0;0;1;0;0;0;lermontov-maskarad;1842;['переменять', 'тон'];['переменять', 'тон'];['V', 'S'];['переменять', 'тон'];['V', 'S']
(Подходит к столу. ему дают место.);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['подходить', 'к', 'стол', 'он', 'давать', 'место'];['подходить', 'стол', 'давать', 'место'];['V', 'S', 'V', 'S'];['подходить', 'стол', 'давать', 'место'];['V', 'S', 'V', 'S']
(Тихо.);0;0;0;0;1;0;0;0;lermontov-maskarad;1842;['тихо'];['тихо'];['ADV'];['тихо'];['ADV']
(на ухо второму);0;0;0;0;1;0;0;0;lermontov-maskarad;1842;['на', 'ухо', 'второй'];['ухо', 'второй'];['S', 'ANUM'];['ухо', 'второй'];['S', 'ANUM']
Игра начинается. все толпятся вокруг стола, иногда разные возгласы, в продолжение следующего разговора многие мрачно отходят от стола. Шприх отводит на авансцену Казарина.;0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['игра', 'начинаться', 'все', 'толпиться', 'вокруг', 'стол', 'иногда', 'разный', 'возглас', 'в', 'продолжение', 'следующий', 'разговор', 'многие', 'мрачно', 'отходить', 'от', 'стол', 'шприх', 'отводить', 'на', 'авансцена', 'казарин'];['игра', 'начинаться', 'толпиться', 'вокруг', 'стол', 'разный', 'возглас', 'продолжение', 'следующий', 'разговор', 'многие', 'мрачно', 'отходить', 'стол', 'шприх', 'отводить', 'авансцена', 'казарин'];['S', 'V', 'V', 'ADV', 'S', 'A', 'S', 'S', 'A', 'S', 'SPRO', 'ADV', 'V', 'S', 'S', 'V', 'S', 'S'];['игра', 'начинаться', 'толпиться', 'вокруг', 'стол', 'разный', 'возглас', 'продолжение', 'следующий', 'разговор', 'многие', 'мрачно', 'отходить', 'стол', 'шприх', 'отводить', 'авансцена', 'Имя'];['S', 'V', 'V', 'ADV', 'S', 'A', 'S', 'S', 'A', 'S', 'SPRO', 'ADV', 'V', 'S', 'S', 'V', 'S', 'PERSN']
(лукаво);0;0;0;0;1;0;0;0;lermontov-maskarad;1842;['лукаво'];['лукаво'];['ADV'];['лукаво'];['ADV']
(ударив по плечу);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['ударять', 'по', 'плечо'];['ударять', 'плечо'];['V', 'S'];['ударять', 'плечо'];['V', 'S']
Два игрока в живом разговоре подходят.;0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['два', 'игрок', 'в', 'живой', 'разговор', 'подходить'];['игрок', 'живой', 'разговор', 'подходить'];['S', 'A', 'S', 'V'];['игрок', 'живой', 'разговор', 'подходить'];['S', 'A', 'S', 'V']
(подходит);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['подходить'];['подходить'];['V'];['подходить'];['V']
Волнение у стола между игроками.;0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['волнение', 'у', 'стол', 'между', 'игрок'];['волнение', 'стол', 'игрок'];['S', 'S', 'S'];['волнение', 'стол', 'игрок'];['S', 'S', 'S']
(в сторону);0;0;0;0;1;0;0;0;lermontov-maskarad;1842;['в', 'сторона'];['сторона'];['S'];['сторона'];['S']
(встает);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['вставать'];['вставать'];['V'];['вставать'];['V']
Берет золото и отходит, другие остаются у стола. Казарин и Шприх также у стола. Арбенин молча берет за руку князя и отдает ему деньги. Арбенин бледен.;0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['берет', 'золото', 'и', 'отходить', 'другой', 'оставаться', 'у', 'стол', 'казарин', 'и', 'шприх', 'также', 'у', 'стол', 'арбенин', 'молча', 'брать', 'за', 'рука', 'князь', 'и', 'отдавать', 'он', 'деньги', 'арбенин', 'бледный'];['берет', 'золото', 'отходить', 'оставаться', 'стол', 'казарин', 'шприх', 'также', 'стол', 'арбенин', 'молча', 'брать', 'рука', 'князь', 'отдавать', 'деньги', 'арбенин', 'бледный'];['S', 'S', 'V', 'V', 'S', 'S', 'S', 'ADV', 'S', 'S', 'ADV', 'V', 'S', 'S', 'V', 'S', 'S', 'A'];['берет', 'золото', 'отходить', 'оставаться', 'стол', 'Имя', 'шприх', 'также', 'стол', 'Имя', 'молча', 'брать', 'рука', 'князь', 'отдавать', 'деньги', 'Имя', 'бледный'];['S', 'S', 'V', 'V', 'S', 'PERSN', 'S', 'ADV', 'S', 'PERSN', 'ADV', 'V', 'S', 'S', 'V', 'S', 'PERSN', 'A']
(Горько.);0;0;0;0;1;0;0;0;lermontov-maskarad;1842;['горько'];['горько'];['ADV'];['горько'];['ADV']
(Помолчав.);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['помолчать'];['помолчать'];['V'];['помолчать'];['V']
(в сторону);0;0;0;0;1;0;0;0;lermontov-maskarad;1842;['в', 'сторона'];['сторона'];['S'];['сторона'];['S']
Уходят.;0;0;1;0;0;0;0;0;lermontov-maskarad;1842;['уходить'];['уходить'];['V'];['уходить'];['V']
Те же, кроме Арбенина и князя Звездича.;0;1;0;0;0;0;0;0;lermontov-maskarad;1842;['тот', 'же', 'кроме', 'арбенин', 'и', 'князь', 'звездич'];['кроме', 'арбенин', 'князь', 'звездич'];['PR', 'S', 'S', 'S'];['кроме', 'Имя', 'князь', 'Имя'];['PR', 'PERSN', 'S', 'PERSN']
(входит);0;0;1;0;0;0;0;0;lermontov-maskarad;1842;['входить'];['входить'];['V'];['входить'];['V']
Уходят.;0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['уходить'];['уходить'];['V'];['уходить'];['V']
(один);0;1;0;0;0;0;0;0;lermontov-maskarad;1842;['один'];[];[];[];[]
(Приставив палец ко лбу.);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['приставлять', 'палец', 'ко', 'лоб'];['приставлять', 'палец', 'ко', 'лоб'];['V', 'S', 'PR', 'S'];['приставлять', 'палец', 'ко', 'лоб'];['V', 'S', 'PR', 'S']
(Уходит и рассуждает сам с собою.);0;0;1;0;1;0;0;0;lermontov-maskarad;1842;['уходить', 'и', 'рассуждать', 'сам', 'с', 'себя'];['уходить', 'рассуждать'];['V', 'V'];['уходить', 'рассуждать'];['V', 'V']
Маскерад.;1;0;0;0;0;0;0;0;lermontov-maskarad;1842;['маскерад'];['маскерад'];['S'];['маскерад'];['S']
Маски, Арбенин, потом князь Звездич. Толпа проходит взад и вперед по сцене. налево канапе.;0;1;1;0;0;0;0;0;lermontov-maskarad;1842;['маска', 'арбенин', 'потом', 'князь', 'звездич', 'толпа', 'проходить', 'взад', 'и', 'вперед', 'по', 'сцена', 'налево', 'канапе'];['маска', 'арбенин', 'князь', 'звездич', 'толпа', 'проходить', 'взад', 'вперед', 'сцена', 'налево', 'канапе'];['S', 'S', 'S', 'S', 'S', 'V', 'ADV', 'ADV', 'S', 'ADV', 'S'];['маска', 'Имя', 'князь', 'Имя', 'толпа', 'проходить', 'взад', 'вперед', 'сцена', 'налево', 'канапе'];['S', 'PERSN', 'S', 'PERSN', 'S', 'V', 'ADV', 'ADV', 'S', 'ADV', 'S']
(входит);0;1;0;0;0;0;0;0;lermontov-maskarad;1842;['входить'];['входить'];['V'];['входить'];['V']
Князь подходит. Зевая.;0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['князь', 'подходить', 'зевать'];['князь', 'подходить', 'зевать'];['S', 'V', 'V'];['князь', 'подходить', 'зевать'];['S', 'V', 'V']
(Уходит.);0;0;1;0;0;0;0;0;lermontov-maskarad;1842;['уходить'];['уходить'];['V'];['уходить'];['V']
Князь и женская маска.;0;1;0;0;0;0;0;0;lermontov-maskarad;1842;['князь', 'и', 'женский', 'маска'];['князь', 'женский', 'маска'];['S', 'A', 'S'];['князь', 'женский', 'маска'];['S', 'A', 'S']
Одно домино подходит и останавливается. Князь стоит в задумчивости.;0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['один', 'домино', 'подходить', 'и', 'останавливаться', 'князь', 'стоять', 'в', 'задумчивость'];['домино', 'подходить', 'останавливаться', 'князь', 'стоять', 'задумчивость'];['S', 'V', 'V', 'S', 'V', 'S'];['домино', 'подходить', 'останавливаться', 'князь', 'стоять', 'задумчивость'];['S', 'V', 'V', 'S', 'V', 'S']
Одна маска отделяется и, ударив его по плечу:;0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['один', 'маска', 'отделяться', 'и', 'ударять', 'он', 'по', 'плечо'];['маска', 'отделяться', 'ударять', 'плечо'];['S', 'V', 'V', 'S'];['маска', 'отделяться', 'ударять', 'плечо'];['S', 'V', 'V', 'S']
(Заглядывает под маску.);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['заглядывать', 'под', 'маска'];['заглядывать', 'маска'];['V', 'S'];['заглядывать', 'маска'];['V', 'S']
Некоторое молчание.;0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['некоторый', 'молчание'];['некоторый', 'молчание'];['APRO', 'S'];['некоторый', 'молчание'];['APRO', 'S']
(Уходят под руки.);0;0;1;0;0;0;0;0;lermontov-maskarad;1842;['уходить', 'под', 'рука'];['уходить', 'рука'];['V', 'S'];['уходить', 'рука'];['V', 'S']
Арбенин и две маски.;0;1;0;0;0;0;0;0;lermontov-maskarad;1842;['арбенин', 'и', 'два', 'маска'];['арбенин', 'маска'];['S', 'S'];['Имя', 'маска'];['PERSN', 'S']
Арбенин тащит за руку мужскую маску.;0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['арбенин', 'тащить', 'за', 'рука', 'мужской', 'маска'];['арбенин', 'тащить', 'рука', 'мужской', 'маска'];['S', 'V', 'S', 'A', 'S'];['Имя', 'тащить', 'рука', 'мужской', 'маска'];['PERSN', 'V', 'S', 'A', 'S']
(Исчезает в толпе.);0;0;1;0;0;0;0;0;lermontov-maskarad;1842;['исчезать', 'в', 'толпа'];['исчезать', 'толпа'];['V', 'S'];['исчезать', 'толпа'];['V', 'S']
Шприх и Арбенин.;0;1;0;0;0;0;0;0;lermontov-maskarad;1842;['шприх', 'и', 'арбенин'];['шприх', 'арбенин'];['S', 'S'];['шприх', 'Имя'];['S', 'PERSN']
Шприх является.;0;1;0;0;0;0;0;0;lermontov-maskarad;1842;['шприх', 'являться'];['шприх', 'являться'];['S', 'V'];['шприх', 'являться'];['S', 'V']
На канапе сидят две женские маски, кто-то подходит в интригует, берет за руку... одна вырывается и уходит, браслет спадает с руки.;0;0;1;1;0;0;0;0;lermontov-maskarad;1842;['на', 'канапе', 'сидеть', 'два', 'женский', 'маска', 'кто-то', 'подходить', 'в', 'интриговать', 'брать', 'за', 'рука', 'один', 'вырываться', 'и', 'уходить', 'браслет', 'спадать', 'с', 'рука'];['канапе', 'сидеть', 'женский', 'маска', 'кто-то', 'подходить', 'интриговать', 'брать', 'рука', 'вырываться', 'уходить', 'браслет', 'спадать', 'рука'];['S', 'V', 'A', 'S', 'SPRO', 'V', 'V', 'V', 'S', 'V', 'V', 'S', 'V', 'S'];['канапе', 'сидеть', 'женский', 'маска', 'кто-то', 'подходить', 'интриговать', 'брать', 'рука', 'вырываться', 'уходить', 'браслет', 'спадать', 'рука'];['S', 'V', 'A', 'S', 'SPRO', 'V', 'V', 'V', 'S', 'V', 'V', 'S', 'V', 'S']
(переменив тон);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['переменять', 'тон'];['переменять', 'тон'];['V', 'S'];['переменять', 'тон'];['V', 'S']
(Насвистывает песню и уходит.);0;0;1;1;0;0;0;0;lermontov-maskarad;1842;['насвистывать', 'песня', 'и', 'уходить'];['насвистывать', 'песня', 'уходить'];['V', 'S', 'V'];['насвистывать', 'песня', 'уходить'];['V', 'S', 'V']
(один);0;1;0;0;0;0;0;0;lermontov-maskarad;1842;['один'];[];[];[];[]
(Теряется в толпе.);0;0;1;0;0;0;0;0;lermontov-maskarad;1842;['теряться', 'в', 'толпа'];['теряться', 'толпа'];['V', 'S'];['теряться', 'толпа'];['V', 'S']
1-я маска, одна.;0;1;0;0;0;0;0;0;lermontov-maskarad;1842;['я', 'маска', 'один'];['маска'];['S'];['маска'];['S']
1-я маска входит быстро в волнении и падает на канапе.;0;1;0;1;0;0;0;0;lermontov-maskarad;1842;['я', 'маска', 'входить', 'быстро', 'в', 'волнение', 'и', 'падать', 'на', 'канапе'];['маска', 'входить', 'быстро', 'волнение', 'падать', 'канапе'];['S', 'V', 'ADV', 'S', 'V', 'S'];['маска', 'входить', 'быстро', 'волнение', 'падать', 'канапе'];['S', 'V', 'ADV', 'S', 'V', 'S']
(Видит на земле браслет и поднимает.);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['видеть', 'на', 'земля', 'браслет', 'и', 'подымать'];['видеть', 'земля', 'браслет', 'подымать'];['V', 'S', 'S', 'V'];['видеть', 'земля', 'браслет', 'подымать'];['V', 'S', 'S', 'V']
1-я маска и князь Звездич.;0;1;0;0;0;0;0;0;lermontov-maskarad;1842;['я', 'маска', 'и', 'князь', 'звездич'];['маска', 'князь', 'звездич'];['S', 'S', 'S'];['маска', 'князь', 'Имя'];['S', 'S', 'PERSN']
Князь с лорнетом торопливо продирается.;0;1;0;0;0;0;0;0;lermontov-maskarad;1842;['князь', 'с', 'лорнет', 'торопливо', 'продираться'];['князь', 'лорнет', 'торопливо', 'продираться'];['S', 'S', 'ADV', 'V'];['князь', 'лорнет', 'торопливо', 'продираться'];['S', 'S', 'ADV', 'V']
(Садится на канапе и берет ее за руку.);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['садиться', 'на', 'канапе', 'и', 'брать', 'она', 'за', 'рука'];['садиться', 'канапе', 'брать', 'рука'];['V', 'S', 'V', 'S'];['садиться', 'канапе', 'брать', 'рука'];['V', 'S', 'V', 'S']
(хочет идти);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['хотеть', 'идти'];['хотеть', 'идти'];['V', 'V'];['хотеть', 'идти'];['V', 'V']
(отойдя два шага);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['отходить', 'два', 'шаг'];['отходить', 'шаг'];['V', 'S'];['отходить', 'шаг'];['V', 'S']
(Бросает браслет на пол, пока он его поднимает, она скрывается в толпе.);0;0;1;1;0;0;0;0;lermontov-maskarad;1842;['бросать', 'браслет', 'на', 'пол', 'пока', 'он', 'он', 'подымать', 'она', 'скрываться', 'в', 'толпа'];['бросать', 'браслет', 'пол', 'пока', 'подымать', 'скрываться', 'толпа'];['V', 'S', 'S', 'ADV', 'V', 'V', 'S'];['бросать', 'браслет', 'пол', 'пока', 'подымать', 'скрываться', 'толпа'];['V', 'S', 'S', 'ADV', 'V', 'V', 'S']
Князь, потом Арбенин.;0;1;0;0;0;0;0;0;lermontov-maskarad;1842;['князь', 'потом', 'арбенин'];['князь', 'арбенин'];['S', 'S'];['князь', 'Имя'];['S', 'PERSN']
(Он ищет ее глазами напрасно.);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['он', 'искать', 'она', 'глаз', 'напрасно'];['искать', 'глаз', 'напрасно'];['V', 'S', 'ADV'];['искать', 'глаз', 'напрасно'];['V', 'S', 'ADV']
(Увидев Арбенина.);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['увидеть', 'арбенин'];['увидеть', 'арбенин'];['V', 'S'];['увидеть', 'Имя'];['V', 'PERSN']
(идет задумчив);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['идти', 'задумчивый'];['идти', 'задумчивый'];['V', 'A'];['идти', 'задумчивый'];['V', 'A']
(подходя);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['подходить'];['подходить'];['V'];['подходить'];['V']
(дует на ладонь);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['дуть', 'на', 'ладонь'];['дуть', 'ладонь'];['V', 'S'];['дуть', 'ладонь'];['V', 'S']
(Несколько слов на ухо.);0;0;0;0;1;0;0;0;lermontov-maskarad;1842;['несколько', 'слово', 'на', 'ухо'];['несколько', 'слово', 'ухо'];['ADV', 'S', 'S'];['несколько', 'слово', 'ухо'];['ADV', 'S', 'S']
(показывает браслет);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['показывать', 'браслет'];['показывать', 'браслет'];['V', 'S'];['показывать', 'браслет'];['V', 'S']
(улыбаясь);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['улыбаться'];['улыбаться'];['V'];['улыбаться'];['V']
Евгений Арбенин входит. слуга.;0;1;0;0;0;0;0;0;lermontov-maskarad;1842;['евгений', 'арбенин', 'входить', 'слуга'];['евгений', 'арбенин', 'входить', 'слуга'];['S', 'S', 'V', 'S'];['Имя', 'Имя', 'входить', 'слуга'];['PERSN', 'PERSN', 'V', 'S']
(Слуге:);0;0;0;0;1;0;0;0;lermontov-maskarad;1842;['слуга'];['слуга'];['S'];['слуга'];['S']
Слуга уходит. он садится в кресла.;0;0;1;1;0;0;0;0;lermontov-maskarad;1842;['слуга', 'уходить', 'он', 'садиться', 'в', 'кресло'];['слуга', 'уходить', 'садиться', 'кресло'];['S', 'V', 'V', 'S'];['слуга', 'уходить', 'садиться', 'кресло'];['S', 'V', 'V', 'S']
(один);0;1;0;0;0;0;0;0;lermontov-maskarad;1842;['один'];[];[];[];[]
(Задумывается.);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['задумываться'];['задумываться'];['V'];['задумываться'];['V']
Арбенин и Нина.;0;1;0;0;0;0;0;0;lermontov-maskarad;1842;['арбенин', 'и', 'нина'];['арбенин', 'нина'];['S', 'S'];['Имя', 'Имя'];['PERSN', 'PERSN']
Нина входит на цыпочках и целует его в лоб сзади.;0;1;0;1;0;0;0;0;lermontov-maskarad;1842;['нина', 'входить', 'на', 'цыпочки', 'и', 'целовать', 'он', 'в', 'лоб', 'сзади'];['нина', 'входить', 'цыпочки', 'целовать', 'лоб', 'сзади'];['S', 'V', 'S', 'V', 'S', 'ADV'];['Имя', 'входить', 'цыпочки', 'целовать', 'лоб', 'сзади'];['PERSN', 'V', 'S', 'V', 'S', 'ADV']
(улыбаясь);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['улыбаться'];['улыбаться'];['V'];['улыбаться'];['V']
(Привлекает к себе на колени и целует.);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['привлекать', 'к', 'себя', 'на', 'колено', 'и', 'целовать'];['привлекать', 'колено', 'целовать'];['V', 'S', 'V'];['привлекать', 'колено', 'целовать'];['V', 'S', 'V']
Она ласково смотрит на него и проводит рукой по волосам.;0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['она', 'ласково', 'смотреть', 'на', 'он', 'и', 'проводить', 'рука', 'по', 'волос'];['ласково', 'смотреть', 'проводить', 'рука', 'волос'];['ADV', 'V', 'V', 'S', 'S'];['ласково', 'смотреть', 'проводить', 'рука', 'волос'];['ADV', 'V', 'V', 'S', 'S']
(Целует ее руки и вдруг на одной не видит браслета, останавливается и бледнеет.);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['целовать', 'ее', 'рука', 'и', 'вдруг', 'на', 'один', 'не', 'видеть', 'браслет', 'останавливаться', 'и', 'бледнеть'];['целовать', 'рука', 'видеть', 'браслет', 'останавливаться', 'бледнеть'];['V', 'S', 'V', 'S', 'V', 'V'];['целовать', 'рука', 'видеть', 'браслет', 'останавливаться', 'бледнеть'];['V', 'S', 'V', 'S', 'V', 'V']
(вскакивает);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['вскакивать'];['вскакивать'];['V'];['вскакивать'];['V']
(про себя);0;0;0;0;1;0;0;0;lermontov-maskarad;1842;['про', 'себя'];[];[];[];[]
(пронзительно на нее смотрит, сложив руки).;0;0;0;1;1;0;0;0;lermontov-maskarad;1842;['пронзительно', 'на', 'она', 'смотреть', 'слагать', 'рука'];['пронзительно', 'смотреть', 'слагать', 'рука'];['ADV', 'V', 'V', 'S'];['пронзительно', 'смотреть', 'слагать', 'рука'];['ADV', 'V', 'V', 'S']
(обидясь);0;0;0;1;0;0;0;0;lermontov-maskarad;1842;['обидясь'];['обидясь'];['ADV'];['обидясь'];['ADV']
(про себя);0;0;0;0;1;0;0;0;lermontov-maskarad;1842;['про', 'себя'];[];[];[];[]
Прежние и слуга.;0;1;0;0;0;0;0;0;lermontov-maskarad;1842;['прежний', 'и', 'слуга'];['прежний', 'слуга'];['A', 'S'];['прежний', 'слуга'];['A', 'S']
(звонит, слуга входит);0;1;0;0;0;0;0;0;lermontov-maskarad;1842;['звонить', 'слуга', 'входить'];['звонить', 'слуга', 'входить'];['V', 'S', 'V'];['звонить', 'слуга', 'входить'];['V', 'S', 'V']
(Слуге.);0;0;0;0;1;0;0;0;lermontov-maskarad;1842;['слуга'];['слуга'];['S'];['слуга'];['S']
(Ей.);0;0;0;0;1;0;0;0;lermontov-maskarad;1842;['она'];[];[];[];[]
Слуга уходит.;0;0;1;0;0;0;0;0;lermontov-maskarad;1842;['слуга', 'уходить'];['слуга', 'уходить'];['S', 'V'];['слуга', 'уходить'];['S', 'V']
(После паузы, ей.);0;0;0;1;1;0;0;0;lermontov-maskarad;1842;['после', 'пауза', 'она'];['пауза'];['S'];['пауза'];['S']
Слуга входит.;0;1;0;0;0;0;0;0;lermontov-maskarad;1842;['слуга', 'входить'];['слуга', 'входить'];['S', 'V'];['слуга', 'входить'];['S', 'V']
