text;setting;entrance;exit;business;delivery;modifier;location;unknown;play;year
(подходит);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Волнение у стола между игроками.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(в сторону);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(встает);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Берет золото и отходит, другие остаются у стола. Казарин и Шприх также у стола. Арбенин молча берет за руку князя и отдает ему деньги. Арбенин бледен.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Горько.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Помолчав.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(в сторону);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
Уходят.;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Те же, кроме Арбенина и князя Звездича.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(входит);0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Уходят.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(один);0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Приставив палец ко лбу.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Уходит и рассуждает сам с собою.);0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
Маскерад.;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Маски, Арбенин, потом князь Звездич. Толпа проходит взад и вперед по сцене. налево канапе.;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(входит);0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Князь подходит. Зевая.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Уходит.);0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Князь и женская маска.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Одно домино подходит и останавливается. Князь стоит в задумчивости.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Одна маска отделяется и, ударив его по плечу:;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Заглядывает под маску.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Некоторое молчание.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Уходят под руки.);0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Арбенин и две маски.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Арбенин тащит за руку мужскую маску.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Исчезает в толпе.);0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Шприх и Арбенин.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Шприх является.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
На канапе сидят две женские маски, кто-то подходит в интригует, берет за руку... одна вырывается и уходит, браслет спадает с руки.;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(переменив тон);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Насвистывает песню и уходит.);0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(один);0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Теряется в толпе.);0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
1-я маска, одна.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
1-я маска входит быстро в волнении и падает на канапе.;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Видит на земле браслет и поднимает.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
1-я маска и князь Звездич.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Князь с лорнетом торопливо продирается.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Садится на канапе и берет ее за руку.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(хочет идти);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(отойдя два шага);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Бросает браслет на пол, пока он его поднимает, она скрывается в толпе.);0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Князь, потом Арбенин.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Он ищет ее глазами напрасно.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Увидев Арбенина.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(идет задумчив);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(подходя);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(дует на ладонь);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Несколько слов на ухо.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(показывает браслет);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(улыбаясь);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Евгений Арбенин входит. слуга.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Слуге:);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
Слуга уходит. он садится в кресла.;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(один);0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Задумывается.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Арбенин и Нина.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Нина входит на цыпочках и целует его в лоб сзади.;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(улыбаясь);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Привлекает к себе на колени и целует.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Она ласково смотрит на него и проводит рукой по волосам.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Целует ее руки и вдруг на одной не видит браслета, останавливается и бледнеет.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(вскакивает);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(про себя);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(пронзительно на нее смотрит, сложив руки).;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(обидясь);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(про себя);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
Прежние и слуга.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(звонит, слуга входит);0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Слуге.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Ей.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
Слуга уходит.;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(После паузы, ей.);0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
Слуга входит.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Значительный взгляд на нее.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Прежние, кроме слуги.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(слуге);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Ей.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Смеется.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Хочет взять ее за руку: она отскакивает в сторону.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Ей);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(с презреньем);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
Она в слезах уходит.;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Один.);0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Подходит к двери жены и слушает.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Уходя.);0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Конец первого действия;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;lermontov-maskarad;1842
Баронесса сидит на креслах в усталости. Бросает книгу.;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Хочет читать.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Входит Нина.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Садятся.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Входит князь Звездич.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(холодно.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Смеется.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(горячо);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
Входит чиновник.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Прежние и чиновник.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Отходит к окну и говорит.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(в сторону);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Нине.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(скоро);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(вынимает из ридикюля);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(В сторону.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Ей.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(улыбаясь);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Про себя.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
Нина отходит к баронессе. Чиновник раскланивается и уходит.;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Целуются.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(уходя);0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Уходит.);0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Прежние, кроме Нины и чиновника.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(в сторону);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
После молчания.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Уходит.);0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Задумывается.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Баронесса и Шприх.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Шприх входит, раскланивается.;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(в недоумении);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(В сторону.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Уходя. В сторону.);0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(один.);0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Кабинет Арбенина.;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Арбенин один, потом слуга.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(входит);0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Идет. слуга остается.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Афанасий Павлович Казарин и слуга.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Уходит);0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Казарин и Шприх.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Входит Шприх.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Делает пальцами изображение рогов.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Арбенин входит с письмом, они стояли налево у бюро, и он их не видал.;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Прежние и Арбенин.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(не замечая их);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Перечитывает письмо.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Казарину.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(в сторону);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Приближается к двери.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Прежние, кроме Шприха.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Шприх уходит незамечен.;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(В сторону.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Ему.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(в размышлении);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(в сторону);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Ему.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(В сторону.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(не обращая внимания);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(расстроенно);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
Арбенин отворачивается.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Падает на стул и закрывает лицо.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Комната у князя. Дверь в другую растворена. Он в другой спит на диване.;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Иван, потом Арбенин.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Слуга смотрит на часы.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Арбенин входит.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(прислушивается);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(показывает на кабинет);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(В сторону.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(в сторону);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Ему.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Слуге.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
Слуга уходит.;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(один);0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Растворяет дверь.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Страшно улыбаясь.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Входит в комнату.);0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Минуты две, и выходит бледен.);0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Молчание.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Молчание.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Садится.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Берет чернил и записку пишет — берет шляпу.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Арбенин и баронесса.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Идет к двери, сталкивается с дамой в вуале.;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(вырываясь);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Ей строго.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
Он откидывает вуаль и отступает в удивлении, потом приходит в себя.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(В бешенстве.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(решительно);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Опомнившись.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(упадает в кресла);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Хочет идти.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Уходит.);0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Баронесса, одна.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(вслед ему);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
Баронесса и князь.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(в другой комнате);0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;lermontov-maskarad;1842
(Входит.);0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Узнает и отскакивает.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Слабым голосом.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(смущенно);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Берет ее за руку.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(подумав);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Берет его за руку.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(облокачивается на стол, упадая);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Молчание.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(опомнясь и отходя);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Подойдя к двери, видит, что он хочет броситься за ней.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Уходит.);0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Князь, один.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(После долгого размышления);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Подходит к столу.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Комната у N.;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Казарин, хозяин и Арбенин, садятся играть.;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(В сторону.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
Слышен шум.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Князь входит.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
Прежние и князь.;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(В сторону.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Садится.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(смеясь);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(в сторону);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(Отходит и кладет саблю.);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(рассеянно);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
(В сторону.);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;lermontov-maskarad;1842
Играют, Арбенин мечет.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
(будто не слыхал вопроса);0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;lermontov-maskarad;1842
